sample_id,biosample.associated_studies,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url
nmdc:bsm-11-9bd9gw03,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_100_RtExu-D-EcoFAB-Brachy-Axenic_4_Reinj_444.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_100_RtExu-D-EcoFAB-Brachy-Axenic_4_Reinj_444.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-09T13:29:00Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_100_RtExu-D-EcoFAB-Brachy-Axenic_4_Reinj_444.raw&forceDownload=true
nmdc:bsm-11-atjxz069,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_101_RtExu-D-EcoFAB-Brachy-Axenic_5__266.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_101_RtExu-D-EcoFAB-Brachy-Axenic_5__266.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-06T17:11:46Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_101_RtExu-D-EcoFAB-Brachy-Axenic_5__266.raw&forceDownload=true
nmdc:bsm-11-yr7zg844,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_102_RtExu-D-EcoFAB-Brachy-Axenic_6__305.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_102_RtExu-D-EcoFAB-Brachy-Axenic_6__305.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-07T07:43:10Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_102_RtExu-D-EcoFAB-Brachy-Axenic_6__305.raw&forceDownload=true
nmdc:bsm-11-gxdrn484,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_103_RtExu-D-EcoFAB-Brachy-Axenic_7__363.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_103_RtExu-D-EcoFAB-Brachy-Axenic_7__363.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-08T05:21:35Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_103_RtExu-D-EcoFAB-Brachy-Axenic_7__363.raw&forceDownload=true
nmdc:bsm-11-x4en7x93,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_104_RtExu-D-EcoFAB-Brachy-SynCom16_1__037.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_104_RtExu-D-EcoFAB-Brachy-SynCom16_1__037.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-02-26T03:49:23Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_104_RtExu-D-EcoFAB-Brachy-SynCom16_1__037.raw&forceDownload=true
nmdc:bsm-11-rqcskm71,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_105_RtExu-D-EcoFAB-Brachy-SynCom16_2_Reinj_438.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_105_RtExu-D-EcoFAB-Brachy-SynCom16_2_Reinj_438.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-09T11:14:40Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_105_RtExu-D-EcoFAB-Brachy-SynCom16_2_Reinj_438.raw&forceDownload=true
nmdc:bsm-11-7qjb7v06,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_106_RtExu-D-EcoFAB-Brachy-SynCom16_3__126.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_106_RtExu-D-EcoFAB-Brachy-SynCom16_3__126.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-02-27T12:57:47Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_106_RtExu-D-EcoFAB-Brachy-SynCom16_3__126.raw&forceDownload=true
nmdc:bsm-11-k2w4r482,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_107_RtExu-D-EcoFAB-Brachy-SynCom16_4__161.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_107_RtExu-D-EcoFAB-Brachy-SynCom16_4__161.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-02-28T01:58:17Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_107_RtExu-D-EcoFAB-Brachy-SynCom16_4__161.raw&forceDownload=true
nmdc:bsm-11-629yaj45,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_108_RtExu-D-EcoFAB-Brachy-SynCom16_5__283.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_108_RtExu-D-EcoFAB-Brachy-SynCom16_5__283.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-06T23:31:37Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_108_RtExu-D-EcoFAB-Brachy-SynCom16_5__283.raw&forceDownload=true
nmdc:bsm-11-9ype9h42,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_109_RtExu-D-EcoFAB-Brachy-SynCom16_6__295.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_109_RtExu-D-EcoFAB-Brachy-SynCom16_6__295.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-03-07T03:59:48Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_109_RtExu-D-EcoFAB-Brachy-SynCom16_6__295.raw&forceDownload=true
nmdc:bsm-11-rp1dmm82,['nmdc:sty-11-ev70y104'],/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/raw/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_10_RtExu-A-EcoFAB-Brachy-SynCom16_3__145.raw,/Volumes/LaCie/nmdc_data/_ecofab_11_ev70y104/processed_20251022/20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_10_RtExu-A-EcoFAB-Brachy-SynCom16_3__145.raw.corems/,"JGI/LBNL Standard Metabolomics Method, positive @20CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Exploris 120,NMDC,JGI,2024-02-27T20:01:57Z,MB10179C,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000095476%2Fraw%2F20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_10_RtExu-A-EcoFAB-Brachy-SynCom16_3__145.raw&forceDownload=true
