sample_id,biosample.associated_studies,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url
nmdc:bsm-11-hpc0y385,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_53_S53-D89_B_Rg80to1200-CE205060-soil-S1_Run155.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_53_S53-D89_B_Rg80to1200-CE205060-soil-S1_Run155.corems,"JGI/LBNL Standard Metabolomics Method, positive @20,50,60CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-17T14:47:10Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_53_S53-D89_B_Rg80to1200-CE205060-soil-S1_Run155.raw&forceDownload=true
nmdc:bsm-11-8eq0ee41,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_45_S53-D45_C_Rg80to1200-CE102040-soil-S1_Run211.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_45_S53-D45_C_Rg80to1200-CE102040-soil-S1_Run211.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-18T02:37:24Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_45_S53-D45_C_Rg80to1200-CE102040-soil-S1_Run211.raw&forceDownload=true
nmdc:bsm-11-s9pzk442,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_43_S53-D45_A_Rg80to1200-CE102040-soil-S1_Run23.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_43_S53-D45_A_Rg80to1200-CE102040-soil-S1_Run23.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-15T17:06:54Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_43_S53-D45_A_Rg80to1200-CE102040-soil-S1_Run23.raw&forceDownload=true
nmdc:bsm-11-ph0fwv60,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run50.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run50.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-15T22:49:24Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run50.raw&forceDownload=true
nmdc:bsm-11-3ywmq490,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run147.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run147.corems,"JGI/LBNL Standard Metabolomics Method, positive @20,50,60CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-17T13:05:46Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run147.raw&forceDownload=true
nmdc:bsm-11-t2ner660,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_11_S16-D45_B_Rg80to1200-CE205060-soil-S1_Run129.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_11_S16-D45_B_Rg80to1200-CE205060-soil-S1_Run129.corems,"JGI/LBNL Standard Metabolomics Method, positive @20,50,60CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-16T15:31:10Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_11_S16-D45_B_Rg80to1200-CE205060-soil-S1_Run129.raw&forceDownload=true
nmdc:bsm-11-vpqnkr76,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_46_S29-D89_A_Rg80to1200-CE102040-soil-S1_Run76.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_46_S29-D89_A_Rg80to1200-CE102040-soil-S1_Run76.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-16T04:18:58Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_46_S29-D89_A_Rg80to1200-CE102040-soil-S1_Run76.raw&forceDownload=true
nmdc:bsm-11-m01vy390,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_51_S40-D89_C_Rg80to1200-CE102040-soil-S1_Run226.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_51_S40-D89_C_Rg80to1200-CE102040-soil-S1_Run226.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-18T05:47:39Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_51_S40-D89_C_Rg80to1200-CE102040-soil-S1_Run226.raw&forceDownload=true
nmdc:bsm-11-jxezhe49,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_15_S17-D45_C_Rg80to1200-CE102040-soil-S1_Run167.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_15_S17-D45_C_Rg80to1200-CE102040-soil-S1_Run167.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-17T17:19:25Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_15_S17-D45_C_Rg80to1200-CE102040-soil-S1_Run167.raw&forceDownload=true
nmdc:bsm-11-8kc4dg60,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_19_S16-D89_A_Rg80to1200-CE102040-soil-S1_Run85.raw,/Volumes/LaCie/nmdc_data/_kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_19_S16-D89_A_Rg80to1200-CE102040-soil-S1_Run85.corems,"JGI/LBNL Standard Metabolomics Method, positive @10,20,40CE",C18,Q Exactive Orbitrap,EMSL,EMSL,2021-09-16T06:13:10Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_19_S16-D89_A_Rg80to1200-CE102040-soil-S1_Run85.raw&forceDownload=true
