raw_file_name,raw_file_path,biosample_id,biosample_name,match_confidence,match_method
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_79_A-D-7_3_Rg80to1200-CE102040-root-C22-S1_Run213.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_79_A-D-7_3_Rg80to1200-CE102040-root-C22-S1_Run213.raw,nmdc:bsm-11-j5xa5t86,C22_A_7_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run88.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run88.raw,nmdc:bsm-11-6g8d5g69,I12_A_3_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_15_A-C-2_2_Rg70to1050-CE102040-root-F2-S1_Run137.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_15_A-C-2_2_Rg70to1050-CE102040-root-F2-S1_Run137.raw,nmdc:bsm-11-ag2qyq93,F2_A_2_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run65.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run65.raw,nmdc:bsm-11-w4tyzd28,F12_B_4_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run64.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run64.raw,nmdc:bsm-11-w4tyzd28,F12_B_4_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_10_A-C-0_4_Rg70to1050-CE102040-root-J4-S1_Run217.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_10_A-C-0_4_Rg70to1050-CE102040-root-J4-S1_Run217.raw,nmdc:bsm-11-9fgqs731,J4_A_0_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_65_A-C-5_1_Rg80to1200-CE102040-root-G24-S1_Run76.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_65_A-C-5_1_Rg80to1200-CE102040-root-G24-S1_Run76.raw,nmdc:bsm-11-df1mqz45,G24_A_5_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run91.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run91.raw,nmdc:bsm-11-1sdkpz20,E22_B_7_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_74_A-D-7_2_Rg70to1050-CE102040-root-C22-S1_Run159.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_74_A-D-7_2_Rg70to1050-CE102040-root-C22-S1_Run159.raw,nmdc:bsm-11-j5xa5t86,C22_A_7_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_46_A-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run154.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_46_A-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run154.raw,nmdc:bsm-11-p0v3kr82,G13_A_4_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_77_A-C-7_2_Rg80to1200-CE102040-root-J25-S1_Run102.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_77_A-C-7_2_Rg80to1200-CE102040-root-J25-S1_Run102.raw,nmdc:bsm-11-ax8tca09,J25_A_7_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_53_A-D-4_1_Rg70to1050-CE102040-root-E14-S1_Run43.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_53_A-D-4_1_Rg70to1050-CE102040-root-E14-S1_Run43.raw,nmdc:bsm-11-xdjvn828,E14_A_4_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_28_B-C-2_5_Rg80to1200-CE102040-root-A4-S1_Run238.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_28_B-C-2_5_Rg80to1200-CE102040-root-A4-S1_Run238.raw,nmdc:bsm-11-p9qcnb33,A4_B_2_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_49_B-C-4_3_Rg80to1200-CE102040-root-C11-S1_Run196.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_49_B-C-4_3_Rg80to1200-CE102040-root-C11-S1_Run196.raw,nmdc:bsm-11-6mp6qm50,C11_B_4_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_22_B-D-2_2_Rg80to1200-CE102040-root-H4-S1_Run119.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_22_B-D-2_2_Rg80to1200-CE102040-root-H4-S1_Run119.raw,nmdc:bsm-11-337xtd94,H4_B_2_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_60_B-C-4_9_Rg80to1200-CE102040-root-E11-S1_Run273.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_60_B-C-4_9_Rg80to1200-CE102040-root-E11-S1_Run273.raw,nmdc:bsm-11-w4w0b844,E11_B_4_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_59_A-C-4_6_Rg80to1200-CE102040-root-E11-S1_Run254.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_59_A-C-4_6_Rg80to1200-CE102040-root-E11-S1_Run254.raw,nmdc:bsm-11-p2nw7v16,E11_A_4_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_57_A-C-4_5_Rg80to1200-CE102040-root-I14-S1_Run251.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_57_A-C-4_5_Rg80to1200-CE102040-root-I14-S1_Run251.raw,nmdc:bsm-11-rqktre19,I14_A_4_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run87.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run87.raw,nmdc:bsm-11-6g8d5g69,I12_A_3_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_54_B-D-4_6_Rg80to1200-CE102040-root-E14-S1_Run260.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_54_B-D-4_6_Rg80to1200-CE102040-root-E14-S1_Run260.raw,nmdc:bsm-11-jg9bry11,E14_B_4_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_80_B-D-7_3_Rg70to1050-CE102040-root-C22-S1_Run195.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_80_B-D-7_3_Rg70to1050-CE102040-root-C22-S1_Run195.raw,nmdc:bsm-11-bny18d49,C22_B_7_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_13_A-C-2_1_Rg70to1050-CE102040-root-G5-S1_Run61.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_13_A-C-2_1_Rg70to1050-CE102040-root-G5-S1_Run61.raw,nmdc:bsm-11-7pxptb67,G5_A_2_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_65_A-C-5_1_Rg70to1050-CE102040-root-G24-S1_Run73.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_65_A-C-5_1_Rg70to1050-CE102040-root-G24-S1_Run73.raw,nmdc:bsm-11-df1mqz45,G24_A_5_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_63_A-D-5_2_Rg70to1050-CE102040-root-H24-S1_Run108.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_63_A-D-5_2_Rg70to1050-CE102040-root-H24-S1_Run108.raw,nmdc:bsm-11-a51gg456,H24_A_5_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_64_B-D-5_2_Rg80to1200-CE102040-root-H24-S1_Run146.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_64_B-D-5_2_Rg80to1200-CE102040-root-H24-S1_Run146.raw,nmdc:bsm-11-f9yzba97,H24_B_5_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_63_A-D-5_2_Rg70to1050-CE102040-root-H24-S1_Run107.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_63_A-D-5_2_Rg70to1050-CE102040-root-H24-S1_Run107.raw,nmdc:bsm-11-a51gg456,H24_A_5_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_67_B-C-5_1_Rg80to1200-CE102040-root-I22-S1_Run47.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_67_B-C-5_1_Rg80to1200-CE102040-root-I22-S1_Run47.raw,nmdc:bsm-11-gf5nys45,I22_B_5_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_4_A-C-0_1_Rg80to1200-CE102040-root-D2-S1_Run26.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_4_A-C-0_1_Rg80to1200-CE102040-root-D2-S1_Run26.raw,nmdc:bsm-11-8t538t71,D2_A_0_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_73_B-C-7_1_Rg70to1050-CE102040-root-C24-S1_Run70.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_73_B-C-7_1_Rg70to1050-CE102040-root-C24-S1_Run70.raw,nmdc:bsm-11-6s6nr025,C24_B_7_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_5_B-C-0_1_Rg70to1050-CE102040-root-D2-S1_Run54.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_5_B-C-0_1_Rg70to1050-CE102040-root-D2-S1_Run54.raw,nmdc:bsm-11-v7jbqt45,D2_B_0_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run90.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run90.raw,nmdc:bsm-11-1sdkpz20,E22_B_7_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_40_A-D-3_5_Rg70to1050-CE102040-root-F11-S1_Run241.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_40_A-D-3_5_Rg70to1050-CE102040-root-F11-S1_Run241.raw,nmdc:bsm-11-2bnqye24,F11_A_3_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_48_A-C-4_2_Rg80to1200-CE102040-root-C11-S1_Run100.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_48_A-C-4_2_Rg80to1200-CE102040-root-C11-S1_Run100.raw,nmdc:bsm-11-bmbcp998,C11_A_4_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_13_A-C-2_1_Rg80to1200-CE102040-root-G5-S1_Run63.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_13_A-C-2_1_Rg80to1200-CE102040-root-G5-S1_Run63.raw,nmdc:bsm-11-7pxptb67,G5_A_2_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_71_A-D-7_1_Rg70to1050-CE102040-root-E25-S1_Run83.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_71_A-D-7_1_Rg70to1050-CE102040-root-E25-S1_Run83.raw,nmdc:bsm-11-jpqg7a86,E25_A_7_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_68_A-D-5_3_Rg70to1050-CE102040-root-A25-S1_Run180.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_68_A-D-5_3_Rg70to1050-CE102040-root-A25-S1_Run180.raw,nmdc:bsm-11-5vz50b85,A25_A_5_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_77_A-C-7_2_Rg70to1050-CE102040-root-J25-S1_Run100.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_77_A-C-7_2_Rg70to1050-CE102040-root-J25-S1_Run100.raw,nmdc:bsm-11-ax8tca09,J25_A_7_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_54_B-D-4_6_Rg80to1200-CE102040-root-E14-S1_Run261.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_54_B-D-4_6_Rg80to1200-CE102040-root-E14-S1_Run261.raw,nmdc:bsm-11-jg9bry11,E14_B_4_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_38_A-D-3_4_Rg80to1200-CE102040-root-D15-S1_Run220.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_38_A-D-3_4_Rg80to1200-CE102040-root-D15-S1_Run220.raw,nmdc:bsm-11-5yg12p32,D15_A_3_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_76_B-C-7_2_Rg70to1050-CE102040-root-F21-S1_Run147.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_76_B-C-7_2_Rg70to1050-CE102040-root-F21-S1_Run147.raw,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_2_A-D-0_2_Rg80to1200-CE102040-root-G3-S1_Run122.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_2_A-D-0_2_Rg80to1200-CE102040-root-G3-S1_Run122.raw,nmdc:bsm-11-he69ja63,G3_A_0_drought,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_73_B-C-7_1_Rg80to1200-CE102040-root-C24-S1_Run72.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_73_B-C-7_1_Rg80to1200-CE102040-root-C24-S1_Run72.raw,nmdc:bsm-11-6s6nr025,C24_B_7_control,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_7_B-C-0_2_Rg70to1050-CE102040-root-I5-S1_Run141.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_7_B-C-0_2_Rg70to1050-CE102040-root-I5-S1_Run141.raw,nmdc:bsm-11-57vncq38,I5_B_0_control,high,exact_treatment_match
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_40_A-D-3_5_Rg80to1200-CE102040-root-F11-S1_Run246.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_40_A-D-3_5_Rg80to1200-CE102040-root-F11-S1_Run246.raw,nmdc:bsm-11-2bnqye24,F11_A_3_drought,high,exact_treatment_match
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_47_B-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run135.raw,/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_47_B-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run135.raw,nmdc:bsm-11-zmx1nq19,G13_B_4_drought,high,exact_treatment_match
