Biosample ID,Associated Studies,Processing Type,Raw Data File,Raw Data Object Alt ID,Proessed Data Directory,mass spec configuration name,lc config name,instrument used,processing instutition,instrument analysis start date,instrument analysis end date,execution resrouce
nmdc:bsm-11-j7ha4a31,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_152_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T00:58:27Z,2019-08-10T01:32:28Z,EMSL-RZR
nmdc:bsm-11-fdjmge85,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_119_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T16:26:24Z,2019-08-09T17:00:26Z,EMSL-RZR
nmdc:bsm-11-h36vdc50,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_157_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T03:06:37Z,2019-08-10T03:40:37Z,EMSL-RZR
nmdc:bsm-11-2nqe9j19,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_120_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T17:09:02Z,2019-08-09T17:43:04Z,EMSL-RZR
nmdc:bsm-11-hr55b403,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_140_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T20:42:25Z,2019-08-09T21:16:25Z,EMSL-RZR
nmdc:bsm-11-z97z1r63,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_195_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T13:04:08Z,2019-08-10T13:38:10Z,EMSL-RZR
nmdc:bsm-11-vdn3kn48,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_133_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T19:59:41Z,2019-08-09T20:33:43Z,EMSL-RZR
nmdc:bsm-11-qa4vm962,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_355_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T18:03:03Z,2019-08-10T18:37:04Z,EMSL-RZR
nmdc:bsm-11-afgbs159,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_184_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T09:30:47Z,2019-08-10T10:04:49Z,EMSL-RZR
nmdc:bsm-11-xcyvst62,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_117_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T15:01:00Z,2019-08-09T15:35:01Z,EMSL-RZR
