raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_80LM_BESC-904-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run78.mzML,nmdc:bsm-11-19v98823,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_80LM_BESC-904-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run77.mzML,nmdc:bsm-11-19v98823,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_80LM_BESC-904-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run77.mzML,nmdc:bsm-11-19v98823,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_80LM_BESC-904-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run76.mzML,nmdc:bsm-11-19v98823,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_83LM_BESC-905-Clat-LM_1_Rg80to1200-CE102040-leaf-S1_Run39.mzML,nmdc:bsm-11-28kgw077,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_83LM_BESC-905-Clat-LM_1_Rg80to1200-CE102040-leaf-S1_Run38.mzML,nmdc:bsm-11-28kgw077,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_83LM_BESC-905-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run38.mzML,nmdc:bsm-11-28kgw077,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_83LM_BESC-905-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run37.mzML,nmdc:bsm-11-28kgw077,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_70LM_BESC-847-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run131.mzML,nmdc:bsm-11-34przm31,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_70LM_BESC-847-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run130.mzML,nmdc:bsm-11-34przm31,"Leaf tissue communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 leaf matter",high,ProcessedSample3_leaf,leaf
