biosample_id,raw_data_identifier,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-07spy989,nmdc:dgms-11-e5ygk206,ProcessedSample3_lipid,lipid
nmdc:bsm-11-07spy989,nmdc:dgms-11-b106nw81,ProcessedSample3_lipid,lipid
nmdc:bsm-11-0pq46m48,nmdc:dgms-11-3erksb14,ProcessedSample3_lipid,lipid
nmdc:bsm-11-0pq46m48,nmdc:dgms-11-mmb3h565,ProcessedSample3_lipid,lipid
nmdc:bsm-11-1srsh991,nmdc:dgms-11-gktq4h05,ProcessedSample3_lipid,lipid
nmdc:bsm-11-1srsh991,nmdc:dgms-11-g5yvh374,ProcessedSample3_lipid,lipid
nmdc:bsm-11-29d9a657,nmdc:dgms-11-k7fqpg54,ProcessedSample3_lipid,lipid
nmdc:bsm-11-29d9a657,nmdc:dgms-11-en6tak40,ProcessedSample3_lipid,lipid
nmdc:bsm-11-2h2j6s31,nmdc:dgms-11-2qf1ak06,ProcessedSample3_lipid,lipid
nmdc:bsm-11-2h2j6s31,nmdc:dgms-11-8nbpwh73,ProcessedSample3_lipid,lipid
nmdc:bsm-11-2nqe9j19,nmdc:dgms-11-7j39js15,ProcessedSample3_lipid,lipid
nmdc:bsm-11-2nqe9j19,nmdc:dgms-11-dye7nn89,ProcessedSample3_lipid,lipid
nmdc:bsm-11-39j0y956,nmdc:dgms-11-yqxmjp82,ProcessedSample3_lipid,lipid
nmdc:bsm-11-39j0y956,nmdc:dgms-11-etv0vv51,ProcessedSample3_lipid,lipid
nmdc:bsm-11-3d7gwr49,nmdc:dgms-11-g1qmgs59,ProcessedSample3_lipid,lipid
nmdc:bsm-11-3d7gwr49,nmdc:dgms-11-b4dm5f36,ProcessedSample3_lipid,lipid
nmdc:bsm-11-4sw8dr23,nmdc:dgms-11-d4jast82,ProcessedSample3_lipid,lipid
nmdc:bsm-11-4sw8dr23,nmdc:dgms-11-8xb0hg90,ProcessedSample3_lipid,lipid
nmdc:bsm-11-4tpf7456,nmdc:dgms-11-6v743933,ProcessedSample3_lipid,lipid
nmdc:bsm-11-4tpf7456,nmdc:dgms-11-69t95796,ProcessedSample3_lipid,lipid
nmdc:bsm-11-afgbs159,nmdc:dgms-11-dkpt8310,ProcessedSample3_lipid,lipid
nmdc:bsm-11-afgbs159,nmdc:dgms-11-5s3pes95,ProcessedSample3_lipid,lipid
nmdc:bsm-11-an1f1v40,nmdc:dgms-11-dpw46n05,ProcessedSample3_lipid,lipid
nmdc:bsm-11-an1f1v40,nmdc:dgms-11-030f5238,ProcessedSample3_lipid,lipid
nmdc:bsm-11-c2b84794,nmdc:dgms-11-w9wn8744,ProcessedSample3_lipid,lipid
nmdc:bsm-11-c2b84794,nmdc:dgms-11-0xt70234,ProcessedSample3_lipid,lipid
nmdc:bsm-11-cnc9ww90,nmdc:dgms-11-ne9ypn19,ProcessedSample3_lipid,lipid
nmdc:bsm-11-cnc9ww90,nmdc:dgms-11-b3y7r814,ProcessedSample3_lipid,lipid
nmdc:bsm-11-djp7e211,nmdc:dgms-11-c31hfd11,ProcessedSample3_lipid,lipid
nmdc:bsm-11-djp7e211,nmdc:dgms-11-7t610222,ProcessedSample3_lipid,lipid
nmdc:bsm-11-fdjmge85,nmdc:dgms-11-x7m43r24,ProcessedSample3_lipid,lipid
nmdc:bsm-11-fdjmge85,nmdc:dgms-11-8dndzk78,ProcessedSample3_lipid,lipid
nmdc:bsm-11-h36vdc50,nmdc:dgms-11-jfh4ec87,ProcessedSample3_lipid,lipid
nmdc:bsm-11-h36vdc50,nmdc:dgms-11-n4p5ww86,ProcessedSample3_lipid,lipid
nmdc:bsm-11-hkftnp97,nmdc:dgms-11-x5mn1k35,ProcessedSample3_lipid,lipid
nmdc:bsm-11-hkftnp97,nmdc:dgms-11-q649g648,ProcessedSample3_lipid,lipid
nmdc:bsm-11-hr55b403,nmdc:dgms-11-yfem9a25,ProcessedSample3_lipid,lipid
nmdc:bsm-11-hr55b403,nmdc:dgms-11-msa4v560,ProcessedSample3_lipid,lipid
nmdc:bsm-11-j7ha4a31,nmdc:dgms-11-scv7cq08,ProcessedSample3_lipid,lipid
nmdc:bsm-11-j7ha4a31,nmdc:dgms-11-e9fj4c16,ProcessedSample3_lipid,lipid
nmdc:bsm-11-jvtvhn02,nmdc:dgms-11-a5wkef23,ProcessedSample3_lipid,lipid
nmdc:bsm-11-jvtvhn02,nmdc:dgms-11-anzf4k38,ProcessedSample3_lipid,lipid
nmdc:bsm-11-k05a2416,nmdc:dgms-11-6nfh9p83,ProcessedSample3_lipid,lipid
nmdc:bsm-11-k05a2416,nmdc:dgms-11-jvns2w20,ProcessedSample3_lipid,lipid
nmdc:bsm-11-k3p2ap93,nmdc:dgms-11-b8zzeq12,ProcessedSample3_lipid,lipid
nmdc:bsm-11-k3p2ap93,nmdc:dgms-11-7t1bp197,ProcessedSample3_lipid,lipid
nmdc:bsm-11-kj72y166,nmdc:dgms-11-x4y3n870,ProcessedSample3_lipid,lipid
nmdc:bsm-11-kj72y166,nmdc:dgms-11-gb0s6f78,ProcessedSample3_lipid,lipid
nmdc:bsm-11-m959ky58,nmdc:dgms-11-q7n0c189,ProcessedSample3_lipid,lipid
nmdc:bsm-11-m959ky58,nmdc:dgms-11-wy6gn874,ProcessedSample3_lipid,lipid
nmdc:bsm-11-mcp72s80,nmdc:dgms-11-h49v6x39,ProcessedSample3_lipid,lipid
nmdc:bsm-11-mcp72s80,nmdc:dgms-11-8zbyjn30,ProcessedSample3_lipid,lipid
nmdc:bsm-11-ntfp9891,nmdc:dgms-11-tp9a3473,ProcessedSample3_lipid,lipid
nmdc:bsm-11-ntfp9891,nmdc:dgms-11-etrp1939,ProcessedSample3_lipid,lipid
nmdc:bsm-11-q42vcp15,nmdc:dgms-11-veqjnx14,ProcessedSample3_lipid,lipid
nmdc:bsm-11-q42vcp15,nmdc:dgms-11-ss7e8s72,ProcessedSample3_lipid,lipid
nmdc:bsm-11-q71pns38,nmdc:dgms-11-ssyx5e78,ProcessedSample3_lipid,lipid
nmdc:bsm-11-q71pns38,nmdc:dgms-11-8fm0pj51,ProcessedSample3_lipid,lipid
nmdc:bsm-11-qa4vm962,nmdc:dgms-11-ntevpt59,ProcessedSample3_lipid,lipid
