description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Seawater microbial communities from North East Pacific Ocean coastal waters of California, USA",['gold:Gb0297373'],nmdc:bsm-11-024rsd62,['biosample:SAMEA7723674'],"Seawater microbial communities from North East Pacific Ocean coastal waters of California, USA - 13114.palenik.42.s017",13114.palenik.42.s017
"Fecal microbial communities from southern tamandua in National Zoo, Maryland, USA",['gold:Gb0315872'],nmdc:bsm-11-040pda34,['biosample:SAMEA7723514'],"Fecal microbial communities from southern tamandua in National Zoo, Maryland, USA - 13114.song.51.s005",13114.song.51.s005
"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA",['gold:Gb0315739'],nmdc:bsm-11-04z8tj85,['biosample:SAMEA7723870'],"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA - 13114.bittleston.68.s014",13114.bittleston.68.s014
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297460'],nmdc:bsm-11-06g2dc22,['biosample:SAMEA7724055'],"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s003",13114.zaneveld.9.s003
Banana cropland soil microbial communities from Singapore,['gold:Gb0239938'],nmdc:bsm-11-06pa9m89,['biosample:SAMEA7724288'],Banana cropland soil microbial communities from Singapore - Seedorf71.JP1soil.18,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315942'],nmdc:bsm-11-07hz4140,['biosample:SAMEA7723661'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s088",13114.mousseau.88.s088
"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica",['gold:Gb0315445'],nmdc:bsm-11-07pb3642,['biosample:SAMEA7723681'],"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s027",13114.pinto.63.s027
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240128'],nmdc:bsm-11-08fpzx54,['biosample:SAMEA7723435'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Thermal.2.0.2",King27.Thermal.2.0.2
"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA",['gold:Gb0315756'],nmdc:bsm-11-097t3b49,['biosample:SAMEA7723441'],"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA - 13114.mayer.34.s002",13114.mayer.34.s002
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316037'],nmdc:bsm-11-0d2xxc20,['biosample:SAMEA7724190'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s106",13114.mousseau.88.s106
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297405'],nmdc:bsm-11-0dxyhz83,['biosample:SAMEA7723939'],"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s014",13114.palenik.42.s014
"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA",['gold:Gb0315861'],nmdc:bsm-11-0g4d7n95,['biosample:SAMEA7723413'],"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA - 13114.girguis.50.s007",13114.girguis.50.s007
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0240001'],nmdc:bsm-11-0hahtj72,['biosample:SAMEA7724269'],"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.camp2",Schmidt56.soil.Nepal.camp2
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297345'],nmdc:bsm-11-0n3z7r33,['biosample:SAMEA7723491'],"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s020",13114.rohwer.85.s020
"Fecal microbial communities from white-faced whistling duck in National Zoo, Maryland, USA",['gold:Gb0315892'],nmdc:bsm-11-0q0ytn25,['biosample:SAMEA7723534'],"Fecal microbial communities from white-faced whistling duck in National Zoo, Maryland, USA - 13114.song.53.s009",13114.song.53.s009
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239982'],nmdc:bsm-11-0q26tj53,['biosample:SAMEA7724250'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.18.SO3.3s",RoyChowdhury45.soil.18.SO3.3s
"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA",['gold:Gb0240064'],nmdc:bsm-11-0snmnf40,['biosample:SAMEA7724203'],"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA - Myrold5.soil.9.HJADF3",Myrold5.soil.9.HJADF3
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315424'],nmdc:bsm-11-0t30k005,['biosample:SAMEA7723922'],"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s012",13114.mcmahon.21.s012
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315898'],nmdc:bsm-11-0t4hha86,['biosample:SAMEA7723617'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s001",13114.mousseau.88.s001
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315908'],nmdc:bsm-11-0v4vv913,['biosample:SAMEA7723627'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s023",13114.mousseau.88.s023
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315669'],nmdc:bsm-11-0ve03274,['biosample:SAMEA7723461'],"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s003",13114.pinto.63.s003
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297363'],nmdc:bsm-11-0x01kf67,['biosample:SAMEA7723557'],"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s011",13114.zaneveld.9.s011
"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico",['gold:Gb0297392'],nmdc:bsm-11-0z4fw943,['biosample:SAMEA7723898'],"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico - 13114.jensen.43.s012",13114.jensen.43.s012
"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA",['gold:Gb0315770'],nmdc:bsm-11-1026rp71,['biosample:SAMEA7723853'],"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA - 13114.berry.2.s012",13114.berry.2.s012
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297317'],nmdc:bsm-11-10czxf79,['biosample:SAMEA7723403'],"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s011",13114.bowen.74.s011
Grasslands and shrubland soil microbial communities from Mongolia,['gold:Gb0239957'],nmdc:bsm-11-1109f777,['biosample:SAMEA7724111'],Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.5,MacRae3.soil.5
"Terrestrial cropland soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240094'],nmdc:bsm-11-1302r041,['biosample:SAMEA7724217'],"Terrestrial cropland soil microbial communities from Oregon, Tillamook County, USA - Myrold59.soil.11.NRCS0221",
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297385'],nmdc:bsm-11-13mnr371,['biosample:SAMEA7723876'],"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s009",13114.bowen.74.s009
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315574'],nmdc:bsm-11-18mrgb45,['biosample:SAMEA7724365'],"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK3.3D",13114.BLANK3.3D
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239986'],nmdc:bsm-11-18vqrs66,['biosample:SAMEA7724254'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.22.SO4.1s",RoyChowdhury45.soil.22.SO4.1s
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239942'],nmdc:bsm-11-195jdb89,['biosample:SAMEA7724120'],Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP3,Makhalanyane46.TGP3
"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean",['gold:Gb0239931'],nmdc:bsm-11-197ez411,['biosample:SAMEA7723948'],"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL1",Rohwer84.arctic.glacier.soil.FJLL1
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240049'],nmdc:bsm-11-1am9vt77,['biosample:SAMEA7724345'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T7.4m",
"Fecal microbial communities from common quail in Zomba, Malawi",['gold:Gb0315959'],nmdc:bsm-11-1b0wkq73,['biosample:SAMEA7723928'],"Fecal microbial communities from common quail in Zomba, Malawi - 13114.minich.76.s006",13114.minich.76.s006
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297468'],nmdc:bsm-11-1bgy6m27,['biosample:SAMEA7724063'],"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s018",13114.zaneveld.9.s018
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297381'],nmdc:bsm-11-1g0a3624,['biosample:SAMEA7723872'],"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s002",13114.bowen.74.s002
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297446'],nmdc:bsm-11-1grhm318,['biosample:SAMEA7724025'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s010",13114.thomas.19.s010
"Fecal microbial communities from lined flat-tail gecko in National Zoo, Maryland, USA",['gold:Gb0315882'],nmdc:bsm-11-1j6kvc24,['biosample:SAMEA7723524'],"Fecal microbial communities from lined flat-tail gecko in National Zoo, Maryland, USA - 13114.song.52.s010",13114.song.52.s010
"Lake sediment microbial communities from Hampden County, Massachusetts, USA",['gold:Gb0315768'],nmdc:bsm-11-1kc3zb19,['biosample:SAMEA7723851'],"Lake sediment microbial communities from Hampden County, Massachusetts, USA - 13114.berry.2.s005",13114.berry.2.s005
"Fecal microbial communities from radiated tortoise in National Zoo, Maryland, USA",['gold:Gb0315879'],nmdc:bsm-11-1vny2356,['biosample:SAMEA7723521'],"Fecal microbial communities from radiated tortoise in National Zoo, Maryland, USA - 13114.song.52.s004",13114.song.52.s004
"Fecal microbial communities from hoffmann's two-toed sloth in Atlanta Zoo, Georgia, USA",['gold:Gb0315877'],nmdc:bsm-11-1yc28a60,['biosample:SAMEA7723519'],"Fecal microbial communities from hoffmann's two-toed sloth in Atlanta Zoo, Georgia, USA - 13114.song.51.s019",13114.song.51.s019
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315930'],nmdc:bsm-11-227vda38,['biosample:SAMEA7723649'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s064",13114.mousseau.88.s064
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240114'],nmdc:bsm-11-228q6569,['biosample:SAMEA7724102'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.2.8.10",King27.Edge.1.2.8.10
