raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
4C1_3_60_pinto-63-s003-a04.raw,nmdc:bsm-11-0ve03274,"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s003",high,ProcessedSample8_bulk_feces,bulk_feces
4D10_1_47_thomas-18-s034-a03.raw,nmdc:bsm-11-n5dtbe85,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s034",high,ProcessedSample8_bulk_feces,bulk_feces
4G12_7_36_zaneveld-9-s004-a04.raw,nmdc:bsm-11-8txch869,"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s004",high,ProcessedSample8_bulk_feces,bulk_feces
4C7_3_80_pinto-63-s009-a04.raw,nmdc:bsm-11-d088ph59,"Zompopas fungus garden dump microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s009",high,ProcessedSample8_bulk_feces,bulk_feces
4A3_2_17_pinto-63-s016-a03.raw,nmdc:bsm-11-kbjn8y24,"Zompopas fungus garden microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s016",high,ProcessedSample8_bulk_feces,bulk_feces
4A2_2_6_pinto-63-s023-a04.raw,nmdc:bsm-11-rhmm8j58,"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s023",high,ProcessedSample8_bulk_feces,bulk_feces
2A4_3_37_jensen-43-s017-a03.raw,nmdc:bsm-11-vk2m2b53,"Marine sediment microbial communities from Philippine Sea, Koror, Palau - 13114.jensen.43.s017",high,ProcessedSample8_bulk_feces,bulk_feces
4A1_2_4_pinto-63-s024-a04.raw,nmdc:bsm-11-edac4v19,"Cerumen microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s024",high,ProcessedSample8_bulk_feces,bulk_feces
5C7_3_39_sandin-54-s005-a04.raw,nmdc:bsm-11-6wvmnx13,"Fish gut microbial communities from Kendall-Frost Mission Bay Marsh Reserve, CA, USA - 13114.sandin.54.s005",high,ProcessedSample8_bulk_feces,bulk_feces
1B9_1_31_berry-2-s017-a04.raw,nmdc:bsm-11-6kwr5c04,"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s017",high,ProcessedSample8_bulk_feces,bulk_feces
1E11_2_27_bowen-74-s010-a04.raw,nmdc:bsm-11-ehp0qr45,"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s010",high,ProcessedSample8_bulk_feces,bulk_feces
4D11_1_48_thomas-18-s040-a03.raw,nmdc:bsm-11-hbzqap28,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s040",high,ProcessedSample8_bulk_feces,bulk_feces
4B2_2_57_pinto-63-s021-a04.raw,nmdc:bsm-11-k47vb326,"Cerumen microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s021",high,ProcessedSample8_bulk_feces,bulk_feces
