biosample_id,biosample_name,raw_data_identifier,material_processing_protocol_id,processedsample_placeholder,match_confidence
nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9009.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9113.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Miesel_60009_01_ABBY_A_PRE_Met_SPE_r1_300SA_IATp03_9286.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Miesel_60009_01_ABBY_A_PRE_Met_SPE_r2_300SA_IATp03_9559.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9049.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9119.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r1_300SA_IATp03_9274.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r2_300SA_IATp03_9608.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9027.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9092.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r1_300SA_IATp03_9247.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r2_300SA_IATp03_9556.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9004.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9103.d,ALL,ProcessedSample6_NOM,high
