biosample_id,raw_data_identifier,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-nk557c89,nmdc:omprc-11-9n4jjb66,ProcessedSample5_NOM,NOM
nmdc:bsm-11-m1fq6w19,nmdc:omprc-11-wqxfpw90,ProcessedSample5_NOM,NOM
nmdc:bsm-11-taxbd841,nmdc:omprc-11-zqm0eq22,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ee0ag266,nmdc:omprc-11-kr8wvy75,ProcessedSample5_NOM,NOM
nmdc:bsm-11-www7hy67,nmdc:omprc-11-9xredf81,ProcessedSample5_NOM,NOM
nmdc:bsm-11-wt6b4187,nmdc:omprc-11-qadres10,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ce4jwr84,nmdc:omprc-11-fd9t6502,ProcessedSample5_NOM,NOM
nmdc:bsm-11-j27yvs05,nmdc:omprc-11-qwn9z409,ProcessedSample5_NOM,NOM
nmdc:bsm-11-3yzava15,nmdc:omprc-11-vhv1ar24,ProcessedSample5_NOM,NOM
nmdc:bsm-11-dvfacz60,nmdc:omprc-11-k9bsez07,ProcessedSample5_NOM,NOM
nmdc:bsm-11-nd8fhn80,nmdc:omprc-11-2cqptn57,ProcessedSample5_NOM,NOM
nmdc:bsm-11-6e0p4s30,nmdc:omprc-11-zxxnqw96,ProcessedSample5_NOM,NOM
nmdc:bsm-11-8jfcjq92,nmdc:omprc-11-cp6wj139,ProcessedSample5_NOM,NOM
nmdc:bsm-11-295d8545,nmdc:omprc-11-kbz51491,ProcessedSample5_NOM,NOM
nmdc:bsm-11-nf5pt178,nmdc:omprc-11-2r4tf062,ProcessedSample5_NOM,NOM
nmdc:bsm-11-1s142j75,nmdc:omprc-11-0v266597,ProcessedSample5_NOM,NOM
nmdc:bsm-11-wh3b0b53,nmdc:omprc-11-ndbbhp14,ProcessedSample5_NOM,NOM
nmdc:bsm-11-g4qh8267,nmdc:omprc-11-8c7eac51,ProcessedSample5_NOM,NOM
nmdc:bsm-11-5p6m6g72,nmdc:omprc-11-w49wm335,ProcessedSample5_NOM,NOM
nmdc:bsm-11-jpbmcx96,nmdc:omprc-11-wzsnh389,ProcessedSample5_NOM,NOM
nmdc:bsm-11-wy4w4f21,nmdc:omprc-11-1w5kr793,ProcessedSample5_NOM,NOM
nmdc:bsm-11-04wp3b78,nmdc:omprc-11-qav8yf09,ProcessedSample5_NOM,NOM
nmdc:bsm-11-aj0gen06,nmdc:omprc-11-t9xmkc50,ProcessedSample5_NOM,NOM
nmdc:bsm-11-6rw1t302,nmdc:omprc-11-1r5m7104,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ap2tkx52,nmdc:omprc-11-4n27hk36,ProcessedSample5_NOM,NOM
nmdc:bsm-11-z5t01x57,nmdc:omprc-11-ygdqmb57,ProcessedSample5_NOM,NOM
nmdc:bsm-11-mhnyhc47,nmdc:omprc-11-szq85p60,ProcessedSample5_NOM,NOM
nmdc:bsm-11-tff92b81,nmdc:omprc-11-p03yhn45,ProcessedSample5_NOM,NOM
nmdc:bsm-11-9j388g12,nmdc:omprc-11-dep1bz92,ProcessedSample5_NOM,NOM
nmdc:bsm-11-vea02z69,nmdc:omprc-11-h6997q28,ProcessedSample5_NOM,NOM
nmdc:bsm-11-hsfxtk02,nmdc:omprc-11-dp640814,ProcessedSample5_NOM,NOM
nmdc:bsm-11-1362ms92,nmdc:omprc-11-wwhdqt71,ProcessedSample5_NOM,NOM
nmdc:bsm-11-zff5mj77,nmdc:omprc-11-j62ajw72,ProcessedSample5_NOM,NOM
nmdc:bsm-11-bg4bwd45,nmdc:omprc-11-qwrv2s73,ProcessedSample5_NOM,NOM
nmdc:bsm-11-q0awnq72,nmdc:omprc-11-j46s7c65,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ygfwzz82,nmdc:omprc-11-6e55fd94,ProcessedSample5_NOM,NOM
nmdc:bsm-11-cama3617,nmdc:omprc-11-c1agat69,ProcessedSample5_NOM,NOM
nmdc:bsm-11-qnr70n54,nmdc:omprc-11-f0xaaf02,ProcessedSample5_NOM,NOM
nmdc:bsm-11-tsgx8x62,nmdc:omprc-11-qjhpyy19,ProcessedSample5_NOM,NOM
nmdc:bsm-11-qjhpmv18,nmdc:omprc-11-jfamy176,ProcessedSample5_NOM,NOM
nmdc:bsm-11-6n9dbz91,nmdc:omprc-11-bhrtmw79,ProcessedSample5_NOM,NOM
nmdc:bsm-11-8qrc0539,nmdc:omprc-11-r2jjm028,ProcessedSample5_NOM,NOM
nmdc:bsm-11-1s7vxr77,nmdc:omprc-11-djbbzq81,ProcessedSample5_NOM,NOM
nmdc:bsm-11-4xhnx443,nmdc:omprc-11-dxbxmz36,ProcessedSample5_NOM,NOM
nmdc:bsm-11-d4kqew50,nmdc:omprc-11-hstcr883,ProcessedSample5_NOM,NOM
nmdc:bsm-11-2d4vgv18,nmdc:omprc-11-26s7kg92,ProcessedSample5_NOM,NOM
