ftp_location,raw_data_file_short,extracted_info,biosample_id,instrument_used,chromat_configuration_name,mass_spec_configuration_name,url,biosample.associated_studies,material_processing_type
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100LM_GW-9591-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run172.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100LM_GW-9591-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run172.mzML,"{'sample_part': 'GW-9591-Corv-LM_2', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'leaf', 'replicate': '2'}",nmdc:bsm-11-s6r1q327,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100LM_GW-9591-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run172.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RM_GW-9591-Corv-RM_2_Rg80to1200-CE102040-root-S1_Run835.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RM_GW-9591-Corv-RM_2_Rg80to1200-CE102040-root-S1_Run835.mzML,"{'sample_part': 'GW-9591-Corv-RM_2', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'root', 'replicate': '2'}",nmdc:bsm-11-5ak8ja54,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RM_GW-9591-Corv-RM_2_Rg80to1200-CE102040-root-S1_Run835.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RZM_GW-9591-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run516.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RZM_GW-9591-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run516.mzML,"{'sample_part': 'GW-9591-Corv-RZM_2', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'rhizo', 'replicate': '2'}",nmdc:bsm-11-4f4btc22,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_100RZM_GW-9591-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run516.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101LM_GW-9591-Corv-LM_3_Rg80to1200-CE205060-leaf-S1_Run303.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101LM_GW-9591-Corv-LM_3_Rg80to1200-CE205060-leaf-S1_Run303.mzML,"{'sample_part': 'GW-9591-Corv-LM_3', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'leaf', 'replicate': '3'}",nmdc:bsm-11-tpatza67,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @20,50,60CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101LM_GW-9591-Corv-LM_3_Rg80to1200-CE205060-leaf-S1_Run303.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RM_GW-9591-Corv-RM_3_Rg80to1200-CE205060-root-S1_Run1010.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RM_GW-9591-Corv-RM_3_Rg80to1200-CE205060-root-S1_Run1010.mzML,"{'sample_part': 'GW-9591-Corv-RM_3', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'root', 'replicate': '3'}",nmdc:bsm-11-3636w778,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @20,50,60CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RM_GW-9591-Corv-RM_3_Rg80to1200-CE205060-root-S1_Run1010.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RZM_GW-9591-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run673.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RZM_GW-9591-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run673.mzML,"{'sample_part': 'GW-9591-Corv-RZM_3', 'base_id': 'GW-9591-', 'location': 'Co', 'tissue': 'rhizo', 'replicate': '3'}",nmdc:bsm-11-0xqxvc88,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @20,50,60CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_101RZM_GW-9591-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run673.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102LM_SKWA-24-3-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run149.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102LM_SKWA-24-3-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run149.mzML,"{'sample_part': 'SKWA-24-3-Clat-LM_2', 'base_id': 'SKWA-24-3', 'location': 'CL', 'tissue': 'leaf', 'replicate': '2'}",nmdc:bsm-11-sv771k17,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102LM_SKWA-24-3-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run149.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RM_SKWA-24-3-Clat-RM_2_Rg80to1200-CE102040-root-S1_Run915.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RM_SKWA-24-3-Clat-RM_2_Rg80to1200-CE102040-root-S1_Run915.mzML,"{'sample_part': 'SKWA-24-3-Clat-RM_2', 'base_id': 'SKWA-24-3', 'location': 'CL', 'tissue': 'root', 'replicate': '2'}",nmdc:bsm-11-x0sc5x81,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RM_SKWA-24-3-Clat-RM_2_Rg80to1200-CE102040-root-S1_Run915.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RZM_SKWA-24-3-Clat-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run462.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RZM_SKWA-24-3-Clat-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run462.mzML,"{'sample_part': 'SKWA-24-3-Clat-RZM_2', 'base_id': 'SKWA-24-3', 'location': 'CL', 'tissue': 'rhizo', 'replicate': '2'}",nmdc:bsm-11-aan31e03,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_102RZM_SKWA-24-3-Clat-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run462.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
ftp://massive-ftp.ucsd.edu/v05/MSV000090886/raw/mzml_files/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_103LM_SKWA-24-3-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run89.mzML,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_103LM_SKWA-24-3-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run89.mzML,"{'sample_part': 'SKWA-24-3-Corv-LM_1', 'base_id': 'SKWA-24-3', 'location': 'Co', 'tissue': 'leaf', 'replicate': '1'}",nmdc:bsm-11-f8tzvk82,Thermo Orbitrap IQ-X Tribrid,JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000090886%2Fraw%2Fmzml_files%2F20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_103LM_SKWA-24-3-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run89.mzML&forceDownload=true,['nmdc:sty-11-r2h77870'],unknown
