data_generation_set_id,name
nmdc:dgms-12-z261mw55,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100LM_GW-9591-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run169
nmdc:dgms-12-hwfc1a85,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100RM_GW-9591-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run823
nmdc:dgms-12-8np5az63,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_100RZM_GW-9591-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run509
nmdc:dgms-12-bh2gkp43,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101LM_GW-9591-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run299
nmdc:dgms-12-gr5jna17,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101RM_GW-9591-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run996
nmdc:dgms-12-tjfjep03,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_101RZM_GW-9591-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run664
nmdc:dgms-12-kvg77q73,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102LM_SKWA-24-3-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run147
nmdc:dgms-12-q11aek64,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102RM_SKWA-24-3-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run902
nmdc:dgms-12-1fz3wg32,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_102RZM_SKWA-24-3-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run455
nmdc:dgms-12-a84zbg21,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_103LM_SKWA-24-3-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run87
nmdc:dgms-12-xrmm2689,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_103RM_SKWA-24-3-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run753
nmdc:dgms-12-hbz3hh89,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_103RZM_SKWA-24-3-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run369
nmdc:dgms-12-6ga4kz52,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_104LM_SKWA-24-3-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run120
nmdc:dgms-12-7fbdkw39,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_104RM_SKWA-24-3-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run932
nmdc:dgms-12-w9bhkv16,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_104RZM_SKWA-24-3-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run461
nmdc:dgms-12-e04s4911,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_105LM_SKWA-24-3-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run217
nmdc:dgms-12-nrxq8744,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_105RM_SKWA-24-3-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run938
nmdc:dgms-12-y8rq7q67,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_105RZM_SKWA-24-3-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run585
nmdc:dgms-12-3rzgyp88,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_106LM_SKWD-24-1-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run181
nmdc:dgms-12-p2sp7r49,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_106RM_SKWD-24-1-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run935
nmdc:dgms-12-4fkytb85,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_106RZM_SKWD-24-1-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run543
nmdc:dgms-12-mhvvvy37,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107LM_SKWD-24-1-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run90
nmdc:dgms-12-fq6ba557,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107RM_SKWD-24-1-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run765
nmdc:dgms-12-wzwzx786,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107RZM_SKWD-24-1-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run391
nmdc:dgms-12-gprfrf98,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108LM_SKWD-24-1-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run193
nmdc:dgms-12-qcf4ra79,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108RM_SKWD-24-1-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run896
nmdc:dgms-12-ga7g0t50,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108RZM_SKWD-24-1-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run531
nmdc:dgms-12-2fx7hr23,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109LM_SKWD-24-1-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run281
nmdc:dgms-12-tme6p088,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109RM_SKWD-24-1-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run944
nmdc:dgms-12-2c79wt25,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109RZM_SKWD-24-1-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run622
nmdc:dgms-12-5wj3q521,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_10LM_BESC-133-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run62
nmdc:dgms-12-eh8vcz24,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_10RM_BESC-133-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run771
