sample_id,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies
nmdc:procsm-11-zq1w8n86,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_12_AB_M_17.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_12_AB_M_17.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T08:14:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-eezxvc98,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_12_AB_O_25.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_12_AB_O_25.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T06:11:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-jmrm9918,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_14_AB_M_27.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_14_AB_M_27.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T09:44:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-47crzf40,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_14_AB_O_09.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_14_AB_O_09.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T02:38:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-pbvcnh98,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_19_AB_M_16.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_19_AB_M_16.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T09:02:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-vxvhg398,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_19_AB_O_26.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_19_AB_O_26.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T06:05:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-p7ga4x41,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_27_AB_O_21.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_27_AB_O_21.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T08:19:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-8zkk9a37,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_30_AB_M_14.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_30_AB_M_14.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T10:27:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-5fx00q94,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_4_AB_M_08.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_4_AB_M_08.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T09:39:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-sgxgep46,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_4_AB_O_04.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_4_AB_O_04.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T01:12:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-xk7t6j25,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_7_AB_M_07.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_7_AB_M_07.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T06:48:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-0wedgr31,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_11_AB_M_13.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_11_AB_M_13.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T10:22:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-2tecf991,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_11_AB_O_24.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_11_AB_O_24.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T05:23:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-1afb3q50,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_17_AB_M_18.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_17_AB_M_18.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T11:04:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-y1k8jv24,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_17_AB_O_22.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_17_AB_O_22.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T04:40:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-223ezf88,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_26_AB_M_12.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_26_AB_M_12.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T05:29:00Z,,['nmdc:sty-11-8ws97026']
