raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_13_S17-D45_A_Rg80to1200-CE102040-soil-InjBL-MeOH_Run46.raw,,,,,
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_FPS_MS1_15_S17-D45_C_Rg70to1050-CE102040-soil-InjBL-MeOH_Run165.raw,,,,,
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run163.raw,nmdc:bsm-11-jxezhe49,S17_C_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.raw,nmdc:bsm-11-pdcjjc38,S17_A_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_14_S17-D45_B_Rg80to1200-CE205060-soil-InjBL-MeOH_Run102.raw,,,,,
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run101.raw,nmdc:bsm-11-jmxr0p77,S17_B_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run44.raw,nmdc:bsm-11-pdcjjc38,S17_A_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_15_S17-D45_C_Rg80to1200-CE102040-soil-InjBL-MeOH_Run169.raw,,,,,
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_14_S17-D45_B_Rg70to1050-CE205060-soil-S1_Run99.raw,nmdc:bsm-11-jmxr0p77,S17_B_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run164.raw,nmdc:bsm-11-jxezhe49,S17_C_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_13_S17-D45_A_Rg70to1050-CE102040-soil-S1_Run44.raw,nmdc:bsm-11-pdcjjc38,S17_A_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_14_S17-D45_B_Rg70to1050-CE205060-soil-S1_Run98.raw,nmdc:bsm-11-jmxr0p77,S17_B_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_13_S17-D45_A_Rg70to1050-CE102040-soil-S1_Run43.raw,nmdc:bsm-11-pdcjjc38,S17_A_D45 hydrophilic,high,ProcessedSample3_polar_metabolites_extraction,polar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_15_S17-D45_C_Rg80to1200-CE102040-soil-S1_Run167.raw,nmdc:bsm-11-jxezhe49,S17_C_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run100.raw,nmdc:bsm-11-jmxr0p77,S17_B_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_15_S17-D45_C_Rg80to1200-CE102040-soil-S1_Run168.raw,nmdc:bsm-11-jxezhe49,S17_C_D45 hydrophilic,high,ProcessedSample3_nonpolar_metabolites_extraction,nonpolar_metabolites_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_FPS_MS1_14_S17-D45_B_Rg70to1050-CE205060-soil-InjBL-MeOH_Run100.raw,,,,,
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_FPS_MS1_13_S17-D45_A_Rg70to1050-CE102040-soil-InjBL-MeOH_Run45.raw,,,,,
