sample_id,biosample.associated_studies,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url
nmdc:bsm-11-ph0fwv60,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run51.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run51.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-15T23:02:04Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_40_S40-D45_A_Rg80to1200-CE102040-soil-S1_Run51.raw&forceDownload=true
nmdc:bsm-11-frvbjc93,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_18_S32-D45_C_Rg80to1200-CE102040-soil-S1_Run236.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_18_S32-D45_C_Rg80to1200-CE102040-soil-S1_Run236.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-18T07:54:31Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_18_S32-D45_C_Rg80to1200-CE102040-soil-S1_Run236.raw&forceDownload=true
nmdc:bsm-11-3ywmq490,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run148.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run148.corems,"JGI/LBNL Standard Metabolomics Method, negative @20,50,60CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-17T13:18:28Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_23_S17-D89_B_Rg80to1200-CE205060-soil-S1_Run148.raw&forceDownload=true
nmdc:bsm-11-36k9py90,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_54_S53-D89_C_Rg80to1200-CE102040-soil-S1_Run206.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_54_S53-D89_C_Rg80to1200-CE102040-soil-S1_Run206.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-18T01:34:04Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_54_S53-D89_C_Rg80to1200-CE102040-soil-S1_Run206.raw&forceDownload=true
nmdc:bsm-11-pdcjjc38,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-15T21:45:58Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.raw&forceDownload=true
nmdc:bsm-11-qnnjrr65,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run171.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run171.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-17T18:10:12Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run171.raw&forceDownload=true
nmdc:bsm-11-c351j824,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_39_S29-D45_C_Rg80to1200-CE102040-soil-S1_Run180.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_39_S29-D45_C_Rg80to1200-CE102040-soil-S1_Run180.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-17T20:04:26Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_39_S29-D45_C_Rg80to1200-CE102040-soil-S1_Run180.raw&forceDownload=true
nmdc:bsm-11-qn720m46,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_10_S16-D45_A_Rg80to1200-CE102040-soil-S1_Run54.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_10_S16-D45_A_Rg80to1200-CE102040-soil-S1_Run54.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-15T23:40:08Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_10_S16-D45_A_Rg80to1200-CE102040-soil-S1_Run54.raw&forceDownload=true
nmdc:bsm-11-44xrre38,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_22_S17-D89_A_Rg80to1200-CE102040-soil-S1_Run74.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_22_S17-D89_A_Rg80to1200-CE102040-soil-S1_Run74.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-16T03:53:38Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_22_S17-D89_A_Rg80to1200-CE102040-soil-S1_Run74.raw&forceDownload=true
nmdc:bsm-11-548sqg02,['nmdc:sty-11-dwsv7q78'],/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_24_S17-D89_C_Rg80to1200-CE102040-soil-S1_Run189.raw,/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/processed_20251027/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_24_S17-D89_C_Rg80to1200-CE102040-soil-S1_Run189.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Nonpolar C18,Q Exactive Orbitrap,NDMC,JGI,2021-09-17T21:58:37Z,,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000094090%2Fraw%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680%2Frawdata%2F20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_24_S17-D89_C_Rg80to1200-CE102040-soil-S1_Run189.raw&forceDownload=true
