id,name,samp_name,analysis_type,gold_biosample_identifiers
nmdc:bsm-11-8677ak11,S16,S16,['bulk chemistry'],
nmdc:bsm-11-41myzx51,S17,S17,['bulk chemistry'],
nmdc:bsm-11-9x8j8549,S32,S32,['bulk chemistry'],
nmdc:bsm-11-j1v7e623,S29,S29,['bulk chemistry'],
nmdc:bsm-11-s5afsv55,S40,S40,['bulk chemistry'],
nmdc:bsm-11-r6rcen19,S53,S53,['bulk chemistry'],
nmdc:bsm-11-jxezhe49,S17_C_D45 hydrophilic,S17_C_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290974']
nmdc:bsm-11-s9pzk442,S53_A_D45 hydrophobic,S53_A_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290993']
nmdc:bsm-11-p27p6894,S29_C_D89 hydrophobic,S29_C_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290998']
nmdc:bsm-11-t2ner660,S16_B_D45 hydrophilic,S16_B_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290970']
nmdc:bsm-11-apaqh958,S16_B_D89 hydrophilic,S16_B_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290979']
nmdc:bsm-11-frvbjc93,S32_C_D45 hydrophilic,S32_C_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290977']
nmdc:bsm-11-jmxr0p77,S17_B_D45 hydrophilic,S17_B_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290973']
nmdc:bsm-11-dq9ezy55,S32_A_D89 hydrophilic,S32_A_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290984']
nmdc:bsm-11-36k9py90,S53_C_D89 hydrophobic,S53_C_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0291004']
nmdc:bsm-11-hpc0y385,S53_B_D89 hydrophobic,S53_B_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0291003']
nmdc:bsm-11-ekqspq89,S40_B_D89 hydrophobic,S40_B_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0291000']
nmdc:bsm-11-gkkhv091,S40_A_D89 hydrophobic,S40_A_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290999']
nmdc:bsm-11-qn720m46,S16_A_D45 hydrophilic,S16_A_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290969']
nmdc:bsm-11-7f5qmk63,S32_B_D45 hydrophilic,S32_B_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290976']
nmdc:bsm-11-e7ztgg08,S16_C_D45 hydrophilic,S16_C_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290971']
nmdc:bsm-11-8kc4dg60,S16_A_D89 hydrophilic,S16_A_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290978']
nmdc:bsm-11-44xrre38,S17_A_D89 hydrophilic,S17_A_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290981']
nmdc:bsm-11-vpqnkr76,S29_A_D89 hydrophobic,S29_A_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290996']
nmdc:bsm-11-q1kss226,S29_A_D45 hydrophobic,S29_A_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290987']
nmdc:bsm-11-qnnjrr65,S32_C_D89 hydrophilic,S32_C_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290986']
nmdc:bsm-11-pdcjjc38,S17_A_D45 hydrophilic,S17_A_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290972']
nmdc:bsm-11-xh9qrs70,S40_C_D45 hydrophobic,S40_C_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290992']
nmdc:bsm-11-8eq0ee41,S53_C_D45 hydrophobic,S53_C_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290995']
nmdc:bsm-11-62qeyh21,S29_B_D89 hydrophobic,S29_B_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290997']
nmdc:bsm-11-5d48pv16,S16_C_D89 hydrophilic,S16_C_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290980']
nmdc:bsm-11-pmz6mf62,S32_A_D45 hydrophilic,S32_A_D45 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290975']
nmdc:bsm-11-3ywmq490,S17_B_D89 hydrophilic,S17_B_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290982']
nmdc:bsm-11-548sqg02,S17_C_D89 hydrophilic,S17_C_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290983']
nmdc:bsm-11-m01vy390,S40_C_D89 hydrophobic,S40_C_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0291001']
nmdc:bsm-11-5ktpn654,S53_A_D89 hydrophobic,S53_A_D89 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0291002']
nmdc:bsm-11-eft4hz10,S32_B_D89 hydrophilic,S32_B_D89 hydrophilic,"['metagenomics', 'metabolomics']",['gold:Gb0290985']
nmdc:bsm-11-ph0fwv60,S40_A_D45 hydrophobic,S40_A_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290990']
nmdc:bsm-11-ksnxcm30,S53_B_D45 hydrophobic,S53_B_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290994']
nmdc:bsm-11-c351j824,S29_C_D45 hydrophobic,S29_C_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290989']
nmdc:bsm-11-47981f15,S29_B_D45 hydrophobic,S29_B_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290988']
nmdc:bsm-11-1d28pq90,S40_B_D45 hydrophobic,S40_B_D45 hydrophobic,"['metagenomics', 'metabolomics']",['gold:Gb0290991']
nmdc:bsm-11-p2hefv39,S17_C_D30 hydrophilic,S17_C_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-k0kvye53,S53_A_D30 hydrophobic,S53_A_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-b093gn20,S16_B_D30 hydrophilic,S16_B_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-xzah9h77,S32_C_D30 hydrophilic,S32_C_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-m6dyp824,S17_B_D30 hydrophilic,S17_B_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-bspxw403,S16_A_D30 hydrophilic,S16_A_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-8kd7tk20,S32_B_D30 hydrophilic,S32_B_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-pqw2sg11,S16_C_D30 hydrophilic,S16_C_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-xyjkwb46,S29_A_D30 hydrophobic,S29_A_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-0j16a127,S17_A_D30 hydrophilic,S17_A_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-0fntz079,S40_C_D30 hydrophobic,S40_C_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-k8xjhe51,S53_C_D30 hydrophobic,S53_C_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-djeh8w09,S32_A_D30 hydrophilic,S32_A_D30 hydrophilic,['metabolomics'],
nmdc:bsm-11-085vbj75,S40_A_D30 hydrophobic,S40_A_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-1t3pb707,S53_B_D30 hydrophobic,S53_B_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-ct6ede57,S29_C_D30 hydrophobic,S29_C_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-w9bg3c13,S29_B_D30 hydrophobic,S29_B_D30 hydrophobic,['metabolomics'],
nmdc:bsm-11-d497zd30,S40_B_D30 hydrophobic,S40_B_D30 hydrophobic,['metabolomics'],
