file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-110_statanox-12C-anox-44-000_2_Rg70to1050-CE102040-83-S1_Run186.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-110_statanox-12C-anox-44-000_2_Rg70to1050-CE102040-83-S1_Run186.mzML,64433947,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['negative'],50.0,1745.0,0.008599848486483097,21.00296974182129,2019-01-06 14:10:45,6765,2025-11-03T21:44:18.150000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run400.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run400.mzML,64005789,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['positive'],50.0,1050.0,0.004511951003223658,21.00278091430664,2019-01-09 22:13:45,7086,2025-11-03T21:31:25.820000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run401.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run401.mzML,65908080,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['negative'],50.0,2050.0,0.008628017269074917,21.006946563720703,2019-01-09 22:35:47,6926,2025-11-03T21:34:17.540000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-170_flux4day-12C-oxic-44-000_4_Rg70to1050-CE102040-108-S1_Run375.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-170_flux4day-12C-oxic-44-000_4_Rg70to1050-CE102040-108-S1_Run375.mzML,63830178,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['negative'],50.0,2050.0,0.008658499456942081,21.007854461669922,2019-01-09 13:02:32,6801,2025-11-03T21:47:09.070000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-177_flux8day-12C-oxic-44-000_3_Rg70to1050-CE102040-115-S1_Run264.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-177_flux8day-12C-oxic-44-000_3_Rg70to1050-CE102040-115-S1_Run264.mzML,63621906,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['positive'],50.0,1235.0,0.004540533293038607,21.005231857299805,2019-01-07 18:51:01,6981,2025-11-03T21:52:06.780000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-108_statanox-12C-anox-44-000_4_Rg70to1050-CE102040-81-S1_Run366.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-108_statanox-12C-anox-44-000_4_Rg70to1050-CE102040-81-S1_Run366.mzML,63563425,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['positive'],50.0,1050.0,0.004468467552214861,21.006385803222656,2019-01-09 08:20:48,6951,2025-11-03T21:34:34.060000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-111_statanox-12C-anox-44-000_5_Rg70to1050-CE102040-84-S1_Run392.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-111_statanox-12C-anox-44-000_5_Rg70to1050-CE102040-84-S1_Run392.mzML,62896916,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['positive'],50.0,1050.0,0.004486531484872103,21.004104614257812,2019-01-09 19:17:20,6921,2025-11-03T21:17:13.560000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-173_flux4day-12C-oxic-44-000_3_Rg70to1050-CE102040-111-S1_Run323.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-173_flux4day-12C-oxic-44-000_3_Rg70to1050-CE102040-111-S1_Run323.mzML,64303609,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['negative'],50.0,1520.0,0.008631748147308826,21.006568908691406,2019-01-08 16:32:04,6780,2025-11-03T21:51:49.370000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-169_flux4day-12C-oxic-44-000_1_Rg70to1050-CE102040-107-S1_Run120.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-169_flux4day-12C-oxic-44-000_1_Rg70to1050-CE102040-107-S1_Run120.mzML,62981793,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['negative'],50.0,1050.0,0.008591579273343086,21.002262115478516,2019-01-05 13:55:23,6777,2025-11-03T21:51:41.170000
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-171_flux4day-12C-oxic-44-000_2_Rg70to1050-CE102040-109-S1_Run220.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-171_flux4day-12C-oxic-44-000_2_Rg70to1050-CE102040-109-S1_Run220.mzML,63565265,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['positive'],50.0,1235.0,0.004471666179597378,21.00824737548828,2019-01-07 02:40:26,6942,2025-11-03T21:30:32.050000
