id,name,samp_name,analysis_type
nmdc:bsm-11-32std723,BLAN_032-M-31.5-18.5-20190702-ga1,BLAN_032-M-31.5-18.5-20190702-ga1,['metagenomics']
nmdc:bsm-11-r4d0xe83,SERC_044-M-3-36-20190723-ga4,SERC_044-M-3-36-20190723-ga4,['metagenomics']
nmdc:bsm-11-hn2hpr36,OSBS_031-M-6.5-6-20190701-ga2,OSBS_031-M-6.5-6-20190701-ga2,['metagenomics']
nmdc:bsm-11-9dp2sw44,STEI_053-M-7-39.5-20190618-ga1,STEI_053-M-7-39.5-20190618-ga1,['metagenomics']
nmdc:bsm-11-8js7j347,TREE_041-M-5.5-30-20190617-ga2,TREE_041-M-5.5-30-20190617-ga2,['metagenomics']
nmdc:bsm-11-9a0gcs33,KONZ_042-M-15.5-37-20190716-ga2,KONZ_042-M-15.5-37-20190716-ga2,['metagenomics']
nmdc:bsm-11-838zcw86,GRSM_055-M-12-2-20190716-ga2,GRSM_055-M-12-2-20190716-ga2,['metagenomics']
nmdc:bsm-11-9sf4nk22,MLBS_067-M-2-9.5-20190820-ga2,MLBS_067-M-2-9.5-20190820-ga2,['metagenomics']
nmdc:bsm-11-v32czv66,TALL_044-M-32-9-20190617-ga2,TALL_044-M-32-9-20190617-ga2,['metagenomics']
nmdc:bsm-11-drgkcz68,NOGP_065-M-26.5-15.5-20190709-ga2,NOGP_065-M-26.5-15.5-20190709-ga2,['metagenomics']
nmdc:bsm-11-kegkxd64,DCFS_067-M-31-4.5-20190724-ga2,DCFS_067-M-31-4.5-20190724-ga2,['metagenomics']
nmdc:bsm-11-wn9j1v94,CPER_046-M-21-3-20190624-ga3,CPER_046-M-21-3-20190624-ga3,['metagenomics']
nmdc:bsm-11-k1chks69,RMNP_043-M-32-30.5-20190725-ga2,RMNP_043-M-32-30.5-20190725-ga2,['metagenomics']
nmdc:bsm-11-54k4eb27,NIWO_043-M-10-1.5-20190805-ga5,NIWO_043-M-10-1.5-20190805-ga5,['metagenomics']
nmdc:bsm-11-7pg22p26,WREF_072-M-17.5-38-20190618-ga2,WREF_072-M-17.5-38-20190618-ga2,['metagenomics']
nmdc:bsm-11-nz264m07,ABBY_070-M-17.5-2-20190702-ga2,ABBY_070-M-17.5-2-20190702-ga2,['metagenomics']
nmdc:bsm-11-y902ym53,SOAP_045-M-37-16-20190529-ga5,SOAP_045-M-37-16-20190529-ga5,['metagenomics']
nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,EMSL 8 DELA_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,"['metabolomics', 'metaproteomics', 'natural organic matter']"
