sample_id,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url,associated_studies
nmdc:bsm-11-d18yfj56,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_46_GEO-ME-44-F_1_Rg70to1050-CE102040-0-7-S1_Run172.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_46_GEO-ME-44-F_1_Rg70to1050-CE102040-0-7-S1_Run172.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T00:55:44Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_46_GEO-ME-44-F_1_Rg70to1050-CE102040-0-7-S1_Run172.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-qbm7gk40,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_49_GEO-SP-0-F_1_Rg70to1050-CE102040-0-4-S1_Run181.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_49_GEO-SP-0-F_1_Rg70to1050-CE102040-0-4-S1_Run181.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T04:16:13Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_49_GEO-SP-0-F_1_Rg70to1050-CE102040-0-4-S1_Run181.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-ne7eez40,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_45_GEO-ME-40-F_1_Rg70to1050-CE102040-0-7-S1_Run164.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_45_GEO-ME-40-F_1_Rg70to1050-CE102040-0-7-S1_Run164.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-22T21:57:53Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_45_GEO-ME-40-F_1_Rg70to1050-CE102040-0-7-S1_Run164.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-a8yjz495,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_5_GEO-ME-24-UF_1_Rg70to1050-CE102040-0-7-S1_Run31.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_5_GEO-ME-24-UF_1_Rg70to1050-CE102040-0-7-S1_Run31.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-20T20:35:44Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_5_GEO-ME-24-UF_1_Rg70to1050-CE102040-0-7-S1_Run31.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-hzzj3m89,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_27_GEO-TB-16-UF_1_Rg70to1050-CE102040-0-1-S1_Run105.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_27_GEO-TB-16-UF_1_Rg70to1050-CE102040-0-1-S1_Run105.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-22T00:04:00Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_27_GEO-TB-16-UF_1_Rg70to1050-CE102040-0-1-S1_Run105.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-5xrr5q54,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_44_GEO-ME-36-F_1_Rg70to1050-CE102040-0-7-S1_Run161.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_44_GEO-ME-36-F_1_Rg70to1050-CE102040-0-7-S1_Run161.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-22T20:51:03Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_44_GEO-ME-36-F_1_Rg70to1050-CE102040-0-7-S1_Run161.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-mac4ny66,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_26_GEO-TB-12-UF_1_Rg70to1050-CE102040-0-1-S1_Run102.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_26_GEO-TB-12-UF_1_Rg70to1050-CE102040-0-1-S1_Run102.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-21T22:57:08Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_26_GEO-TB-12-UF_1_Rg70to1050-CE102040-0-1-S1_Run102.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-vb6nnt31,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_57_GEO-SP-40-F_1_Rg70to1050-CE102040-0-4-S1_Run208.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_57_GEO-SP-40-F_1_Rg70to1050-CE102040-0-4-S1_Run208.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T14:17:47Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_57_GEO-SP-40-F_1_Rg70to1050-CE102040-0-4-S1_Run208.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-186rqh54,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_24_GEO-SP-8-UF_1_Rg70to1050-CE102040-0-4-S1_Run93.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_24_GEO-SP-8-UF_1_Rg70to1050-CE102040-0-4-S1_Run93.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-21T19:36:36Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_24_GEO-SP-8-UF_1_Rg70to1050-CE102040-0-4-S1_Run93.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-8smkxv71,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_54_GEO-SP-28-F_1_Rg70to1050-CE102040-0-4-S1_Run199.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_54_GEO-SP-28-F_1_Rg70to1050-CE102040-0-4-S1_Run199.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T10:57:08Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_54_GEO-SP-28-F_1_Rg70to1050-CE102040-0-4-S1_Run199.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
