raw_data_identifier,biosample_id,biosample_name,processedsample_placeholder,material_processing_protocol_id,match_confidence
GCMS_Blank_01_GCMS03_2023Apr24.cdf,,,,,
GCMS_Blank_02_GCMS03_2023Apr24.cdf,,,,,
GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_03_GCMS03_2023Apr24.cdf,,,,,
EMSL_17_NIWO_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-ha7xvb59,EMSL 88 TREE_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_4_BONA_Oea_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_18_OSBS_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_25_TREE_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_21_SJER_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_77_MLBS_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-pw5qbt83,EMSL 77 MLBS_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_53_NIWO_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-1mgzn748,EMSL 53 NIWO_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_43_DCFS_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-mzz92d33,EMSL 43 DCFS_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_15_MOAB_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_27_WREF_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_60_TALL_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-bm3k2w07,EMSL 60 TALL_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_89_UNDE_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-c71sq339,EMSL 89 UNDE_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_70_DCFS_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-mt7hs697,EMSL 70 DCFS_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_54_OSBS_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-6m5pgr13,EMSL 54 OSBS_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_57_SJER_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-ddcg6623,EMSL 57 SJER_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_67_BONA_Oea_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-x462mz30,EMSL 67 BONA_Oea_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_9_DSNY_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_68_CLBJ_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-ea81mj44,EMSL 68 CLBJ_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_85_SOAP_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-anhff417,EMSL 85 SOAP_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_49_KONZ_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-8e8v8k74,EMSL 49 KONZ_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_38_BARR_Oaf_POST_NotGr_MST_33.cdf,nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
GCMS_Blank_04_GCMS03_2023Apr24.cdf,,,,,
GCMS_FAMEs_02_GCMS03_2023Apr24.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_01_GCMS03_2023Apr25.cdf,,,,,
GCMS_Blank_02_GCMS03_2023Apr25.cdf,,,,,
GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_03_GCMS03_2023Apr25.cdf,,,,,
EMSL_13_KONZ_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_73_GRSM_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-rgvr4244,EMSL 73 GRSM_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
