sample_id,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies
nmdc:procsm-11-ybp0e894,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_17_NIWO_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_17_NIWO_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T06:52:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-pn34yg27,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T07:37:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-cmxp5339,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_4_BONA_Oea_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_4_BONA_Oea_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T08:22:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-nj2eg084,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_18_OSBS_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_18_OSBS_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T09:08:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-c0ngre52,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_25_TREE_A1_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_25_TREE_A1_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T09:53:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-jsvqmb94,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_21_SJER_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_21_SJER_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T10:38:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-kygs4z83,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_77_MLBS_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_77_MLBS_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-24T11:24:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-jjqs0178,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_53_NIWO_A_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_53_NIWO_A_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T12:09:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-eqrpm333,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_43_DCFS_A1_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_43_DCFS_A1_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_02_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T12:54:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-tf0ymh40,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_15_MOAB_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_15_MOAB_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T01:39:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-zg3amp44,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_27_WREF_A1_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_27_WREF_A1_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T02:25:00Z,,['nmdc:sty-11-8bjf2432']
