sample_id,raw_data_file,processed_data_directory,srfa_calib_path,calibration_id,mass_spec_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies,raw_data_file_stem
nmdc:procsm-11-cfdyrx44,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_1_WEOM_r1_Mag_10Mar24_300SA_p01_4_1_17147.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_1_WEOM_r1_Mag_10Mar24_300SA_p01_4_1_17147,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r1_Mag_10Mar24_300SA_p01_54_1_17142.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-12T05:55:37Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_1_WEOM_r1_Mag_10Mar24_300SA_p01_4_1_17147
nmdc:procsm-11-cfdyrx44,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_1_WEOM_r2_Mag_10Mar24_300SA_p01_4_1_17205.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_1_WEOM_r2_Mag_10Mar24_300SA_p01_4_1_17205,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r2_Mag_10Mar24_300SA_p01_54_1_17186.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-13T07:37:50Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_1_WEOM_r2_Mag_10Mar24_300SA_p01_4_1_17205
nmdc:procsm-11-cfdyrx44,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_1_WEOM_r3_Mag_10Mar24_300SA_p01_4_1_17251.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_1_WEOM_r3_Mag_10Mar24_300SA_p01_4_1_17251,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r3_Mag_10Mar24_300SA_p01_54_1_17230.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-14T04:00:54Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_1_WEOM_r3_Mag_10Mar24_300SA_p01_4_1_17251
nmdc:procsm-11-zp4d5r65,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_2_WEOM_r1_Mag_10Mar24_300SA_p01_5_1_17140.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_2_WEOM_r1_Mag_10Mar24_300SA_p01_5_1_17140,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r3_Mag_10Mar24_300SA_p01_54_1_17129.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-12T02:49:29Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_2_WEOM_r1_Mag_10Mar24_300SA_p01_5_1_17140
nmdc:procsm-11-zp4d5r65,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_2_WEOM_r2_Mag_10Mar24_300SA_p01_5_1_17195.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_2_WEOM_r2_Mag_10Mar24_300SA_p01_5_1_17195,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r2_Mag_10Mar24_300SA_p01_54_1_17186.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-13T03:11:56Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_2_WEOM_r2_Mag_10Mar24_300SA_p01_5_1_17195
nmdc:procsm-11-zp4d5r65,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_2_WEOM_r3_Mag_10Mar24_300SA_p01_5_1_17250.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_2_WEOM_r3_Mag_10Mar24_300SA_p01_5_1_17250,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r3_Mag_10Mar24_300SA_p01_54_1_17230.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-14T03:34:19Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_2_WEOM_r3_Mag_10Mar24_300SA_p01_5_1_17250
nmdc:procsm-11-jz00n057,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_3_WEOM_r1_Mag_10Mar24_300SA_p01_6_1_17148.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_3_WEOM_r1_Mag_10Mar24_300SA_p01_6_1_17148,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r1_Mag_10Mar24_300SA_p01_54_1_17142.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-12T06:22:11Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_3_WEOM_r1_Mag_10Mar24_300SA_p01_6_1_17148
nmdc:procsm-11-jz00n057,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_3_WEOM_r2_Mag_10Mar24_300SA_p01_6_1_17188.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_3_WEOM_r2_Mag_10Mar24_300SA_p01_6_1_17188,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r2_Mag_10Mar24_300SA_p01_54_1_17186.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-13T00:05:49Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_3_WEOM_r2_Mag_10Mar24_300SA_p01_6_1_17188
nmdc:procsm-11-jz00n057,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_B_3_WEOM_r3_Mag_10Mar24_300SA_p01_6_1_17261.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_B_3_WEOM_r3_Mag_10Mar24_300SA_p01_6_1_17261,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r3_Mag_10Mar24_300SA_p01_54_1_17254.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-14T08:26:48Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_B_3_WEOM_r3_Mag_10Mar24_300SA_p01_6_1_17261
nmdc:procsm-11-0013mk17,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/60886_1_T_1_WEOM_r1_Mag_10Mar24_300SA_p01_1_1_17135.zip,/home/bmeluch/NMDC/nom_processing/monet_nom/processed_20260711/60886_1_T_1_WEOM_r1_Mag_10Mar24_300SA_p01_1_1_17135,/home/bmeluch/NMDC/nom_processing/monet_nom/raw/QC_SRFAII_23_01_10ppm_WEOM_r3_Mag_10Mar24_300SA_p01_54_1_17129.zip,nmdc:calib-14-hhn3qb47,"EMSL NOM full profile mass spectrometry, negative",7T FT-ICR MS,NMDC,EMSL,2024-03-12T00:36:32Z,SciMax01,['nmdc:sty-11-ygdm6368'],60886_1_T_1_WEOM_r1_Mag_10Mar24_300SA_p01_1_1_17135
