file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,ms2_types,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time,error
60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5029,13.5029,2023-12-21T19:03:08-08:00,1.0,2026-06-30T23:07:00.661686,
60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,0,.d,Error processing 60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d does not seem to be a valid Solarix Mass Spectrum,2026-06-30T23:05:41.264402,,,,,,,,,,,,,,
60920_10_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14069.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14069.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.503,13.503,2023-12-23T05:10:41-08:00,1.0,2026-07-01T00:25:49.660396,
60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5033,13.5033,2023-12-25T19:31:40-08:00,1.0,2026-07-01T01:52:44.665192,
60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,0,.d,Error processing 60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:51:25.936799,,,,,,,,,,,,,,
60920_10_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_37_1_14017.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_37_1_14017.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.4999,13.4999,2023-12-22T06:07:55-08:00,1.0,2026-06-30T23:36:49.888134,
60920_10_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_37_1_14099.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_37_1_14099.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5033,13.5033,2023-12-24T19:35:45-08:00,1.0,2026-07-01T00:54:08.521013,
60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5008,13.5008,2023-12-26T05:16:42-08:00,1.0,2026-07-01T02:17:30.915231,
60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,0,.d,Error processing 60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:16:03.182937,,,,,,,,,,,,,,
60920_10_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_14041.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_14041.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5031,13.5031,2023-12-22T16:46:05-08:00,1.0,2026-07-01T00:01:05.844064,
60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5032,13.5032,2023-12-25T05:47:22-08:00,1.0,2026-07-01T01:19:22.638190,
60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,0,.d,Error processing 60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:18:02.705298,,,,,,,,,,,,,,
60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5005,13.5005,2023-12-26T07:29:40-08:00,1.0,2026-07-01T02:22:59.236252,
60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,0,.d,Error processing 60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:21:40.208023,,,,,,,,,,,,,,
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5029,13.5029,2023-12-21T16:50:09-08:00,1.0,2026-06-30T23:02:47.345296,
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,0,.d,Error processing 60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d does not seem to be a valid Solarix Mass Spectrum,2026-06-30T23:01:28.535702,,,,,,,,,,,,,,
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5032,13.5032,2023-12-22T01:42:00-08:00,1.0,2026-06-30T23:27:14.585420,
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,0,.d,Error processing 60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d does not seem to be a valid Solarix Mass Spectrum,2026-06-30T23:25:57.280965,,,,,,,,,,,,,,
