analysis_type,associated_studies,id,name,samp_name
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-r545d929,60846_2_TOP,60846_2_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-3gxmkt35,60846_5_TOP,60846_5_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-hbagyt36,60846_5_BTM,60846_5_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-y7vevc12,60846_7_TOP,60846_7_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-efd32t52,60846_12_TOP,60846_12_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-hr140144,60846_12_BTM,60846_12_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-qr2b2k15,60846_17_TOP,60846_17_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-4828jb36,60846_2_BTM,60846_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-26x8tg56,60846_7_BTM,60846_7_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-j5s51f30'],nmdc:bsm-11-d1bfx194,60846_17_BTM,60846_17_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-4s3knx85,60881_1_TOP,60881_1_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-ydsqvv39,60881_1_BTM,60881_1_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-rs5kjx19,60881_2_TOP,60881_2_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-2bgdbr64,60881_2_BTM,60881_2_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-1j2zwp66,60881_3_TOP,60881_3_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-40exhw90,60881_3_BTM,60881_3_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-03e00r49,60881_4_TOP,60881_4_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-tnf8y875,60881_4_BTM,60881_4_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-jgwzbt27,60881_5_TOP,60881_5_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-bznks112,60881_5_BTM,60881_5_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-bv6tv085,60881_6_TOP,60881_6_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-sqfdzc85'],nmdc:bsm-11-9a8tgq19,60881_6_BTM,60881_6_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-hd837a83,60920_1_TOP,60920_1_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-a1n8m774,60920_1_BTM,60920_1_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-rh9qzh71,60920_2_TOP,60920_2_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-r9zdf051,60920_2_BTM,60920_2_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-gzkzbg65,60920_3_TOP,60920_3_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-js7fx643,60920_3_BTM,60920_3_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-n9bkbd72,60920_4_TOP,60920_4_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-t5bdp614,60920_4_BTM,60920_4_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-az4q4459,60920_5_TOP,60920_5_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-t9224y81,60920_6_TOP,60920_6_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-f2s5qy43,60920_6_BTM,60920_6_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-b1pbsr87,60920_7_TOP,60920_7_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-vevzsa28,60920_8_TOP,60920_8_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-w24nxz84,60920_8_BTM,60920_8_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-p33zs385,60920_9_BTM,60920_9_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-pq19kv96,60920_10_TOP,60920_10_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-7dqfmc60,60920_11_TOP,60920_11_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-1wwh5q40,60920_5_BTM,60920_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-graz4n71'],nmdc:bsm-11-27z46k86,60920_9_TOP,60920_9_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-n2jgxf07,60921_2_BTM,60921_2_BTM
"['metabolomics', 'metagenomics', 'natural organic matter']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-27nnkj09,60921_4_TOP,60921_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-wwdpxt52,60921_1_TOP,60921_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-wdw6a097,60921_1_BTM,60921_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-t7e8q581,60921_2_TOP,60921_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-7m2z1396,60921_3_TOP,60921_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-xaahg319,60921_3_BTM,60921_3_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-2nfq1115'],nmdc:bsm-11-9q6yc161,60921_4_BTM,60921_4_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-e4xh2s13'],nmdc:bsm-11-sgmrna53,60929_1_TOP,60929_1_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-e4xh2s13'],nmdc:bsm-11-13r2e551,60929_2_TOP,60929_2_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-e4xh2s13'],nmdc:bsm-11-bn083336,60929_3_TOP,60929_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-e4xh2s13'],nmdc:bsm-11-wstxy626,60929_1_BTM,60929_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-e4xh2s13'],nmdc:bsm-11-c5ax9c66,60929_2_BTM,60929_2_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-7108q110,60940_1_TOP,60940_1_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-dt8kyx12,60940_1_BTM,60940_1_BTM
