file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,ms2_types,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time,error
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run12.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run12.mzML,93908608,.mzml,,,,,,,,,,,,,,,2025-11-03T21:52:50.950000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run12.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run15.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run15.mzML,93779128,.mzml,,,,,,,,,,,,,,,2025-11-03T21:24:19.030000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run15.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run9.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run9.mzML,92529927,.mzml,,,,,,,,,,,,,,,2025-11-03T21:29:01.780000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run9.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run18.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run18.mzML,17398784,.mzml,,,,,,,,,,,,,,,2025-11-03T21:38:24.050000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_NEG-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run18.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run11.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run11.mzML,122332451,.mzml,,,,,,,,,,,,,,,2025-11-03T21:41:56.060000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___A_102030eV___Run11.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run14.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run14.mzML,121729575,.mzml,,,,,,,,,,,,,,,2025-11-03T21:11:10.240000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1_PRSoil-pt5g-H2Oonly___B_102030eV___Run14.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run8.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run8.mzML,120114821,.mzml,,,,,,,,,,,,,,,2025-11-03T21:21:30.850000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_1ex_ExBlank-H2Oonly___A_102030eV___Run8.mzML after 1 attempts: Mixed polarities detected in scan data
20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run17.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run17.mzML,114962644,.mzml,,,,,,,,,,,,,,,2025-11-03T21:22:20.810000,Error processing 20170605_KBL_JP_CSPSoilCC_TestEx_PRSoil_QE139-UV_ZHILIC5um200A_715851_POS-MSMS_2ex_ExBlank-H2OEDTA___A_102030eV___Run17.mzML after 1 attempts: Mixed polarities detected in scan data
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_12C-plant_unk_1_Rg70to1050-CE102040-125-S1_Run410.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_12C-plant_unk_1_Rg70to1050-CE102040-125-S1_Run410.mzML,60492987,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1190.0,0.008656364865601063,21.003570556640625,2019-01-10 01:54:13,6882,2025-11-03T21:23:47.170000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_12C-plant_unk_2_Rg70to1050-CE102040-127-S1_Run413.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_12C-plant_unk_2_Rg70to1050-CE102040-127-S1_Run413.mzML,61025471,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,2050.0,0.008636167272925377,21.00680923461914,2019-01-10 03:00:20,6912,2025-11-03T21:29:37.170000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_13C-plant_unk_1_Rg70to1050-CE102040-126-S1_Run416.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_13C-plant_unk_1_Rg70to1050-CE102040-126-S1_Run416.mzML,60873754,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1405.0,0.008665417321026325,21.008209228515625,2019-01-10 04:06:26,6897,2025-11-03T21:50:04.040000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_13C-plant_unk_2_Rg70to1050-CE102040-128-S1_Run419.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_13C-plant_unk_2_Rg70to1050-CE102040-128-S1_Run419.mzML,61118689,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1920.0,0.008672462776303291,21.006399154663086,2019-01-10 05:12:35,6909,2025-11-03T21:43:15.090000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-180_ExCtrl_1_Rg70to1050-CE102040-118-S1_Run12.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-180_ExCtrl_1_Rg70to1050-CE102040-118-S1_Run12.mzML,55304147,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1985.0,0.008590013720095158,21.00721549987793,2019-01-03 22:14:22,6525,2025-11-03T21:26:49.620000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-181_ExCtrl_2_Rg70to1050-CE102040-119-S1_Run157.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-181_ExCtrl_2_Rg70to1050-CE102040-119-S1_Run157.mzML,55809346,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008610263466835022,21.005695343017578,2019-01-06 03:31:20,6516,2025-11-03T21:23:29.300000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-182_ExCtrl_3_Rg70to1050-CE102040-120-S1_Run256.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_ExCtrl-182_ExCtrl_3_Rg70to1050-CE102040-120-S1_Run256.mzML,56135244,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008599832653999329,21.00336456298828,2019-01-07 15:54:36,6519,2025-11-03T21:30:04.440000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-000_unk_1_Rg70to1050-CE102040-121-S1_Run346.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-000_unk_1_Rg70to1050-CE102040-121-S1_Run346.mzML,62901674,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1190.0,0.008641933090984821,21.007793426513672,2019-01-09 00:59:35,6744,2025-11-03T21:23:57.600000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-033_unk_1_Rg70to1050-CE102040-122-S1_Run349.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-033_unk_1_Rg70to1050-CE102040-122-S1_Run349.mzML,64068369,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1520.0,0.008588968776166439,21.001665115356445,2019-01-09 02:05:49,6768,2025-11-03T21:42:22.720000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-049_flux8day-13C-oxic-33-000_1_Rg70to1050-CE102040-40-S1_Run59.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-049_flux8day-13C-oxic-33-000_1_Rg70to1050-CE102040-40-S1_Run59.mzML,63079744,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1520.0,0.00862834695726633,21.006471633911133,2019-01-04 15:30:19,6735,2025-11-03T21:27:37.760000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-050_flux8day-13C-oxic-33-000_2_Rg70to1050-CE102040-41-S1_Run189.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-050_flux8day-13C-oxic-33-000_2_Rg70to1050-CE102040-41-S1_Run189.mzML,64436101,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008635432459414005,21.004640579223633,2019-01-06 15:16:55,6786,2025-11-03T21:31:35.520000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-051_flux8day-13C-oxic-33-000_3_Rg70to1050-CE102040-42-S1_Run250.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-051_flux8day-13C-oxic-33-000_3_Rg70to1050-CE102040-42-S1_Run250.mzML,65198568,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1190.0,0.008666465990245342,21.00467872619629,2019-01-07 13:42:13,6802,2025-11-03T21:46:23.390000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-052_flux8day-13C-oxic-44-000_1_Rg70to1050-CE102040-43-S1_Run62.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-052_flux8day-13C-oxic-44-000_1_Rg70to1050-CE102040-43-S1_Run62.mzML,62609334,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008600614964962006,21.004314422607422,2019-01-04 16:36:36,6729,2025-11-03T21:40:46.390000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-053_flux8day-13C-oxic-44-000_2_Rg70to1050-CE102040-44-S1_Run146.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-053_flux8day-13C-oxic-44-000_2_Rg70to1050-CE102040-44-S1_Run146.mzML,62859987,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008592715486884117,21.007705688476562,2019-01-05 23:28:43,6729,2025-11-03T21:47:21.360000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-054_flux8day-13C-oxic-44-000_3_Rg70to1050-CE102040-45-S1_Run279.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-054_flux8day-13C-oxic-44-000_3_Rg70to1050-CE102040-45-S1_Run279.mzML,64247503,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1050.0,0.008595099672675133,21.004714965820312,2019-01-08 00:21:45,6715,2025-11-03T21:11:19.320000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-055_flux8day-13C-oxic-44-000_4_Rg70to1050-CE102040-46-S1_Run372.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-055_flux8day-13C-oxic-44-000_4_Rg70to1050-CE102040-46-S1_Run372.mzML,63593216,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,2050.0,0.008630632422864437,21.004018783569336,2019-01-09 11:56:23,6718,2025-11-03T21:18:58.470000,
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-056_flux8day-13C-oxic-44-000_5_Rg70to1050-CE102040-47-S1_Run390.mzML,/mnt/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-056_flux8day-13C-oxic-44-000_5_Rg70to1050-CE102040-47-S1_Run390.mzML,64378762,.mzml,Q Exactive,Unknown,Exactive Series slot #913,['centroid'],"[1, 2]",['23'],['hcd'],['negative'],50.0,1985.0,0.00860704854130745,21.00376319885254,2019-01-09 18:33:16,6711,2025-11-03T21:32:02.250000,
